Year,GDPgrowth,GDP,GDPpercapita
2000,5.326938419,77860932152,5074.901624
2001,3.303047313,70979923960,4574.594421
2002,3.106970532,69736811435,4446.250505
2003,4.091047685,75643459840,4772.56282
2004,7.209539709,99210392858,6194.853107
2005,5.742830489,1.23E+11,7598.525121
2006,6.317176343,1.55E+11,9464.550243
2007,4.905324504,1.74E+11,10502.35452
2008,3.529530553,1.80E+11,10751.47967
2009,-1.564239443,1.72E+11,10208.90676
2010,5.844177296,2.19E+11,12808.03459
2011,6.110918829,2.52E+11,14637.24024
2012,5.318628,2.67E+11,15351.55133
2013,4.045004298,2.78E+11,15842.94081
2014,1.766739784,2.61E+11,14670.99676
2015,2.303767036,2.44E+11,13574.17183
2016,1.711089289,2.50E+11,13753.59444
2017,1.188572582,2.77E+11,14999.37009
2018,3.949320891,2.98E+11,15924.79424
2019,1.054442551,2.82E+11,14896.45387
2020,..,..,..
