Year,GDPgrowth,GDP,GDPpercapita
2000,4.920067747,1.65E+11,780.190201
2001,3.643466447,1.60E+11,748.2576157
2002,4.499475391,1.96E+11,900.1775757
2003,4.780369122,2.35E+11,1065.648539
2004,5.030873945,2.57E+11,1150.261315
2005,5.692571304,2.86E+11,1263.287321
2006,5.500951785,3.65E+11,1589.801489
2007,6.345022227,4.32E+11,1860.002763
2008,6.0137036,5.10E+11,2166.854167
2009,4.628871183,5.40E+11,2261.247224
2010,6.223854181,7.55E+11,3122.362815
2011,6.169784208,8.93E+11,3643.043936
2012,6.030050653,9.18E+11,3694.348946
2013,5.557263689,9.13E+11,3623.911582
2014,5.006668426,8.91E+11,3491.624791
2015,4.8763223,8.61E+11,3331.695128
2016,5.033069183,9.32E+11,3562.845756
2017,5.069785901,1.02E+12,3837.651731
2018,5.169705609,1.04E+12,3893.846425
2019,5.024714022,1.12E+12,4135.569263
