Year,GDPgrowth,GDP,GDPpercapita
2000,10.00006682,2.6E+11,1771.594059
2001,5.100051225,3.07E+11,2100.352512
2002,4.699991909,3.45E+11,2377.529577
2003,7.299952345,4.3E+11,2975.125353
2004,7.19994787,5.91E+11,4102.364833
2005,6.399965448,7.64E+11,5323.463083
2006,8.200068255,9.9E+11,6920.189125
2007,8.499977768,1.3E+12,9101.255049
2008,5.199969265,1.66E+12,11635.27293
2009,-7.799993913,1.22E+12,8562.813277
2010,4.5,1.52E+12,10674.99578
2011,4.300029186,2.05E+12,14311.08432
2012,4.024086157,2.21E+12,15420.87454
2013,1.755422149,2.29E+12,15974.64463
2014,0.736267221,2.06E+12,14095.64874
2015,-1.972719226,1.36E+12,9313.013625
2016,0.193690072,1.28E+12,8704.898413
2017,1.825790064,1.57E+12,10720.33259
2018,2.536331301,1.67E+12,11370.81346
2019,1.341875441,1.7E+12,11584.99538
2020,..,..,..
