Year,GDPgrowth,GDP,GDPpercapita
2000,4.127484011,1.03E+13,36334.90878
2001,0.9983408,1.06E+13,37133.24281
2002,1.741695243,1.09E+13,38023.16111
2003,2.861210772,1.15E+13,39496.48588
2004,3.798891123,1.22E+13,41712.80107
2005,3.513213796,1.30E+13,44114.74778
2006,2.854972298,1.38E+13,46298.73144
2007,1.876171455,1.45E+13,47975.9677
2008,-0.136579804,1.47E+13,48382.55845
2009,-2.53675707,1.44E+13,47099.98047
2010,2.563766563,1.50E+13,48467.51578
2011,1.550835504,1.55E+13,49886.81811
2012,2.249545851,1.62E+13,51610.60528
2013,1.84208107,1.68E+13,53117.66785
2014,2.52597345,1.75E+13,55064.74455
2015,2.908021861,1.82E+13,56839.38177
2016,1.637838457,1.87E+13,57951.58408
2017,2.369800784,1.95E+13,60062.22231
2018,2.927325732,2.06E+13,62996.47129
2019,2.161176288,2.14E+13,65297.51751
