Year,GDPgrowth,GDP,GDPpercapita
2000,8.490093406,1.21E+12,959.3724836
2001,8.335733478,1.34E+12,1053.108243
2002,9.13363079,1.47E+12,1148.50829
2003,10.03803048,1.66E+12,1288.643252
2004,10.11362138,1.96E+12,1508.668098
2005,11.39459181,2.29E+12,1753.417829
2006,12.72095567,2.75E+12,2099.229435
2007,14.23086093,3.55E+12,2693.970063
2008,9.650678919,4.59E+12,3468.304602
2009,9.398725633,5.10E+12,3832.236432
2010,10.63587106,6.09E+12,4550.453108
2011,9.550832179,7.55E+12,5618.132267
2012,7.863736449,8.53E+12,6316.918318
2013,7.766150098,9.57E+12,7050.646271
2014,7.425763656,1.05E+13,7678.599486
2015,7.041328879,1.11E+13,8066.942635
2016,6.848762205,1.12E+13,8147.937705
2017,6.947200793,1.23E+13,8879.438667
2018,6.749773833,1.39E+13,9976.677137
2019,5.949714233,1.43E+13,10216.63033
2020,..,..,..
