Year,GDPgrowth,GDP,GDPpercapita
2000,4.387949443,6.55E+11,3749.75325
2001,1.389896403,5.59E+11,3156.798718
2002,3.053461858,5.08E+11,2829.283192
2003,1.140828998,5.58E+11,3070.910491
2004,5.759964639,6.69E+11,3637.462389
2005,3.20213138,8.92E+11,4790.437088
2006,3.961988722,1.11E+12,5886.463588
2007,6.069870608,1.40E+12,7348.030794
2008,5.094195447,1.70E+12,8831.023117
2009,-0.125811999,1.67E+12,8597.915352
2010,7.52822583,2.21E+12,11286.24302
2011,3.974425406,2.62E+12,13245.6125
2012,1.921150318,2.47E+12,12370.0242
2013,3.004846305,2.47E+12,12300.32488
2014,0.50395574,2.46E+12,12112.58821
2015,-3.545763393,1.80E+12,8814.000987
2016,-3.275916908,1.80E+12,8710.09669
2017,1.322869054,2.06E+12,9925.386238
2018,1.317223999,1.89E+12,9001.234249
2019,1.136585572,1.84E+12,8717.186278
2020,..,..,..
