Year,GDPgrowth,GDP,GDPpercapita
2000,3.840991157,4.68E+11,443.3141934
2001,4.823966264,4.85E+11,451.5730011
2002,3.803975321,5.15E+11,470.9867859
2003,7.860381476,6.08E+11,546.7266145
2004,7.922936613,7.09E+11,627.7742473
2005,7.923430621,8.20E+11,714.8610135
2006,8.060732573,9.40E+11,806.7532806
2007,7.660815065,1.22E+12,1028.334771
2008,3.08669806,1.20E+12,998.522339
2009,7.861888833,1.34E+12,1101.96084
2010,8.497584702,1.68E+12,1357.563719
2011,5.241344743,1.82E+12,1458.103527
2012,5.456358951,1.83E+12,1443.879529
2013,6.386106401,1.86E+12,1449.605912
2014,7.410227605,2.04E+12,1573.881492
2015,7.996253444,2.10E+12,1605.605434
2016,8.256305844,2.29E+12,1732.564262
2017,7.043820855,2.65E+12,1981.65105
2018,6.119586841,2.71E+12,2005.863005
2019,4.180727625,2.87E+12,2099.599048
2020,..,..,..
