Year,GDPgrowth,GDP,GDPpercapita
2000,2.779632825,4.89E+12,38532.04088
2001,0.406335903,4.30E+12,33846.46564
2002,0.117992777,4.12E+12,32289.35054
2003,1.528220148,4.45E+12,34808.39092
2004,2.204687882,4.82E+12,37688.72234
2005,1.662670405,4.76E+12,37217.64873
2006,1.420006556,4.53E+12,35433.98896
2007,1.654183881,4.52E+12,35275.22843
2008,-1.0935406,5.04E+12,39339.29757
2009,-5.416412797,5.23E+12,40855.17564
2010,4.191739259,5.70E+12,44507.67639
2011,-0.11542134,6.16E+12,48167.99727
2012,1.495089586,6.20E+12,48603.47665
2013,2.000267841,5.16E+12,40454.44746
2014,0.374719476,4.85E+12,38109.41211
2015,1.222921041,4.39E+12,34524.46986
2016,0.521944455,4.92E+12,38761.81815
2017,2.168290737,4.87E+12,38386.51115
2018,0.323207338,4.95E+12,39159.42356
2019,0.65415165,5.08E+12,40246.88013
