,Time,Longitude,Latitude,Alert,Depth,Magnitude,Place,Type,Converted_Time_GMT
246,1104022733450,3.295,95.982,,30.0,9.1,2004 Sumatra - Andaman Islands Earthquake,earthquake,2004-12-26
146,1299822384120,38.297,142.373,,29.0,9.1,"2011 Great Tohoku Earthquake, Japan",earthquake,2011-03-11
172,1267252451530,-36.122,-72.898,,22.9,8.8,"offshore Bio-Bio, Chile",earthquake,2010-02-27
242,1112026176530,2.085,97.108,,30.0,8.6,"northern Sumatra, Indonesia",earthquake,2005-03-28
127,1334133516720,2.327,93.063,yellow,20.0,8.6,off the west coast of northern Sumatra,earthquake,2012-04-11
214,1189595426830,-4.438,101.367,,34.0,8.4,"southern Sumatra, Indonesia",earthquake,2007-09-12
297,993328394130,-16.265,-73.641,,33.0,8.4,near the coast of southern Peru,earthquake,2001-06-23
106,1369374288980,54.892,153.221,green,598.1,8.3,Sea of Okhotsk,earthquake,2013-05-24
224,1163589253570,46.592,153.266,,10.0,8.3,Kuril Islands,earthquake,2006-11-15
73,1442444072860,-31.5729,-71.6744,orange,22.44,8.3,"48km W of Illapel, Chile",earthquake,2015-09-16
46,1504846159180,15.0222,-93.8993,red,47.39,8.2,"101km SSW of Tres Picos, Mexico",earthquake,2017-09-08
96,1396396007260,-19.6097,-70.7691,yellow,25.0,8.2,"94km NW of Iquique, Chile",earthquake,2014-04-01
126,1334140990850,0.802,92.463,green,25.1,8.2,off the west coast of northern Sumatra,earthquake,2012-04-11
37,1534637980670,-18.1125,-178.153,green,600.0,8.2,"286km NNE of Ndoi Island, Fiji",earthquake,2018-08-19
266,1064519406360,41.815,143.91,,27.0,8.16,"Hokkaido, Japan region",earthquake,2003-09-25
181,1254246490990,-15.489,-172.095,,18.0,8.1,Samoa Islands region,earthquake,2009-09-29
219,1175459998710,-8.466,157.043,,24.0,8.1,Solomon Islands,earthquake,2007-04-01
222,1168662201160,46.243,154.524,,10.0,8.1,east of the Kuril Islands,earthquake,2007-01-13
1,1614886113178,-29.7228,-177.2794,green,28.93,8.1,"Kermadec Islands, New Zealand",earthquake,2021-03-04
247,1103813944410,-49.312,161.345,,10.0,8.1,north of Macquarie Island,earthquake,2004-12-23
308,974350496740,-3.98,152.169,,33.0,8.0,"New Ireland region, Papua New Guinea",earthquake,2000-11-16
228,1146670000290,-20.187,-174.123,,55.0,8.0,Tonga,earthquake,2006-05-03
21,1558856475073,-5.8119,-75.2697,orange,122.57,8.0,"78km SE of Lagunas, Peru",earthquake,2019-05-26
216,1187221257890,-13.386,-76.603,,39.0,8.0,near the coast of central Peru,earthquake,2007-08-15
114,1360113145830,-10.799,165.114,green,24.0,8.0,"76km W of Lata, Solomon Islands",earthquake,2013-02-06
213,1189640943720,-2.625,100.841,,35.0,7.9,"Kepulauan Mentawai region, Indonesia",earthquake,2007-09-12
40,1516699900890,56.0039,-149.1658,green,14.06,7.9,"280km SE of Kodiak, Alaska",earthquake,2018-01-23
48,1485059422960,-6.2464,155.1718,yellow,135.0,7.9,"35km WNW of Panguna, Papua New Guinea",earthquake,2017-01-22
51,1481971870500,-4.5049,153.5216,yellow,94.54,7.9,"54km E of Taron, Papua New Guinea",earthquake,2016-12-17
33,1536248958710,-18.4743,179.3502,green,670.81,7.9,"102km ESE of Suva, Fiji",earthquake,2018-09-06
313,960136106170,-4.721,102.087,,33.0,7.9,"southern Sumatra, Indonesia",earthquake,2000-06-04
145,1299824140280,36.281,141.111,,42.6,7.9,"near the east coast of Honshu, Japan",earthquake,2011-03-11
278,1036361561518,63.5141,-147.4529,,4.2,7.9,Central Alaska,earthquake,2002-11-03
199,1210573681570,31.002,103.322,,19.0,7.9,"eastern Sichuan, China",earthquake,2008-05-12
312,961339453310,-13.802,97.453,,10.0,7.9,South Indian Ocean,earthquake,2000-06-18
89,1403556789700,51.8486,178.7352,green,109.0,7.9,"19km SE of Little Sitkin Island, Alaska",earthquake,2014-06-23
53,1479034976340,-42.7373,173.054,orange,15.11,7.8,"54km NNE of Amberley, New Zealand",earthquake,2016-11-13
61,1460851116980,0.3819,-79.9218,orange,20.59,7.8,"27km SSE of Muisne, Ecuador",earthquake,2016-04-16
241,1118702673900,-19.987,-69.197,,115.6,7.8,"Tarapaca, Chile",earthquake,2005-06-13
119,1351393448820,52.788,-132.101,,14.0,7.8,"Haida Gwaii, Canada",earthquake,2012-10-28
77,1432984982110,27.8386,140.4931,green,664.0,7.8,"189km WNW of Chichi-shima, Japan",earthquake,2015-05-30
81,1429942285950,28.2305,84.7314,red,8.22,7.8,"36km E of Khudi, Nepal",earthquake,2015-04-25
262,1069051386800,51.146,178.65,,33.0,7.8,"Rat Islands, Aleutian Islands, Alaska",earthquake,2003-11-17
63,1456922988110,-4.9521,94.3299,green,24.0,7.8,"Southwest of Sumatra, Indonesia",earthquake,2016-03-02
52,1481218726280,-10.6812,161.3273,green,40.0,7.8,"69km WSW of Kirakira, Solomon Islands",earthquake,2016-12-08
206,1197185300820,-25.996,-177.514,,152.5,7.8,south of the Fiji Islands,earthquake,2007-12-09
291,1005729970010,35.946,90.541,,10.0,7.8,"southern Qinghai, China",earthquake,2001-11-14
307,974360536930,-5.233,153.102,,30.0,7.8,"New Ireland region, Papua New Guinea",earthquake,2000-11-16
185,1247649749030,-45.762,166.562,,12.0,7.8,off the west coast of the South Island of New Zealand,earthquake,2009-07-15
154,1288017742460,-3.487,100.082,,20.1,7.8,"Kepulauan Mentawai region, Indonesia",earthquake,2010-10-25
168,1270592101580,2.383,97.048,,31.0,7.8,"northern Sumatra, Indonesia",earthquake,2010-04-06
306,974494916490,-5.496,151.781,,33.0,7.8,"New Britain region, Papua New Guinea",earthquake,2000-11-17
9,1595398364810,55.0715,-158.596,green,28.0,7.8,"99 km SSE of Perryville, Alaska",earthquake,2020-07-22
178,1254953931240,-12.517,166.382,,35.0,7.8,Santa Cruz Islands,earthquake,2009-10-07
15,1580238624918,19.4193,-78.756,yellow,14.86,7.7,"123km NNW of Lucea, Jamaica",earthquake,2020-01-28
197,1215223924480,53.882,152.886,,632.8,7.7,Sea of Okhotsk,earthquake,2008-07-05
179,1254952994470,-13.006,166.51,,45.0,7.7,Vanuatu,earthquake,2009-10-07
124,1344913178460,49.8,145.064,,583.2,7.7,Sea of Okhotsk,earthquake,2012-08-14
5,1612963195530,-23.0511,171.6566,green,10.0,7.7,southeast of the Loyalty Islands,earthquake,2021-02-10
302,979407212380,13.049,-88.66,,60.0,7.7,offshore El Salvador,earthquake,2001-01-13
192,1231011830650,-0.414,132.885,,17.0,7.7,"near the north coast of Papua, Indonesia",earthquake,2009-01-03
226,1153124366680,-9.284,107.419,,20.0,7.7,"south of Java, Indonesia",earthquake,2006-07-17
208,1195054850530,-22.247,-69.89,,40.0,7.7,"Antofagasta, Chile",earthquake,2007-11-14
47,1500334453740,54.4434,168.857,green,10.0,7.7,"202km ESE of Nikol'skoye, Russia",earthquake,2017-07-17
282,1029755304310,-23.884,178.495,,675.4,7.7,south of the Fiji Islands,earthquake,2002-08-19
109,1366109060180,28.033,61.996,yellow,80.0,7.7,"83km E of Khash, Iran",earthquake,2013-04-16
58,1469827104740,18.5429,145.5073,green,196.0,7.7,"29km SW of Agrihan, Northern Mariana Islands",earthquake,2016-07-29
283,1029754861190,-21.696,-179.513,,580.0,7.7,Fiji region,earthquake,2002-08-19
95,1396492993110,-20.5709,-70.4931,yellow,22.4,7.7,"53km SW of Iquique, Chile",earthquake,2014-04-03
144,1299824750300,38.058,144.59,,18.6,7.7,"off the east coast of Honshu, Japan",earthquake,2011-03-11
301,980479000500,23.419,70.232,,16.0,7.7,"Gujarat, India",earthquake,2001-01-26
102,1380022187970,26.951,65.5009,red,15.0,7.7,"61km NNE of Awaran, Pakistan",earthquake,2013-09-24
98,1384679095530,-60.2738,-46.4011,green,10.0,7.7,Scotia Sea,earthquake,2013-11-17
93,1397333679300,-11.2701,162.1481,green,22.56,7.6,"93km SSE of Kirakira, Solomon Islands",earthquake,2014-04-12
8,1603140878950,54.602,-159.6258,yellow,28.37,7.6,"99 km SE of Sand Point, Alaska",earthquake,2020-10-19
187,1237486660470,-23.043,-174.66,,31.0,7.6,Tonga region,earthquake,2009-03-19
317,954241222510,22.338,143.73,,126.5,7.6,"Volcano Islands, Japan region",earthquake,2000-03-28
122,1346417253380,10.811,126.638,,28.0,7.6,Philippine Islands region,earthquake,2012-08-31
121,1346856127800,10.085,-85.315,,35.0,7.6,Costa Rica,earthquake,2012-09-05
237,1126250803730,-4.539,153.474,,90.0,7.6,"New Ireland region, Papua New Guinea",earthquake,2005-09-09
235,1128743440800,34.539,73.588,,26.0,7.6,Pakistan,earthquake,2005-10-08
275,1043201194610,18.77,-104.104,,24.0,7.6,"offshore Colima, Mexico",earthquake,2003-01-22
231,1138381133670,-5.473,128.131,,397.0,7.6,Banda Sea,earthquake,2006-01-27
229,1145575502150,60.949,167.089,,22.0,7.6,"near the east coast of Koryakskiy Avtonomnyy Okrug, Russia",earthquake,2006-04-20
180,1254305769250,-0.72,99.867,,81.0,7.6,"southern Sumatra, Indonesia",earthquake,2009-09-30
268,1059971840130,-60.532,-43.411,,10.0,7.6,Scotia Sea,earthquake,2003-08-04
22,1557838705939,-4.051,152.5967,green,10.0,7.6,"46km SSE of Namatanai, Papua New Guinea",earthquake,2019-05-14
269,1058300870530,-2.598,68.382,,10.0,7.6,Carlsberg Ridge,earthquake,2003-07-15
69,1448405138880,-10.5372,-70.9437,green,606.21,7.6,"173km WNW of Iberia, Peru",earthquake,2015-11-24
68,1448405454370,-10.0598,-71.0184,green,620.56,7.6,"211km S of Tarauaca, Brazil",earthquake,2015-11-24
141,1309978998260,-29.539,-176.34,,17.0,7.6,Kermadec Islands region,earthquake,2011-07-06
280,1034247020570,-1.757,134.297,,10.0,7.6,"near the north coast of Papua, Indonesia",earthquake,2002-10-10
281,1031510663710,-3.302,142.945,,13.0,7.6,"near the north coast of New Guinea, Papua New Guinea",earthquake,2002-09-08
161,1279925471840,6.497,123.48,,578.0,7.6,"Moro Gulf, Mindanao, Philippines",earthquake,2010-07-23
296,994498723520,-17.543,-72.077,,33.0,7.6,near the coast of southern Peru,earthquake,2001-07-07
50,1482675747010,-43.4064,-73.9413,yellow,38.0,7.6,"41km SW of Puerto Quellon, Chile",earthquake,2016-12-25
315,957414076210,-1.105,123.573,,26.0,7.6,"Sulawesi, Indonesia",earthquake,2000-05-04
217,1186592704920,-5.859,107.419,,280.0,7.5,"Java, Indonesia",earthquake,2007-08-08
115,1357376294957,55.228,-134.8591,,8.7,7.5,Southeastern Alaska,earthquake,2013-01-05
236,1127699737670,-5.678,-76.398,,115.0,7.5,northern Peru,earthquake,2005-09-26
183,1249934138730,14.099,92.902,,24.0,7.5,"Andaman Islands, India region",earthquake,2009-08-10
221,1169378865060,1.065,126.282,,22.0,7.5,Molucca Sea,earthquake,2007-01-21
165,1276370810460,7.881,91.936,,35.0,7.5,"Nicobar Islands, India region",earthquake,2010-06-12
211,1190986737880,22.013,142.668,,260.0,7.5,"Volcano Islands, Japan region",earthquake,2007-09-28
160,1279926910190,6.776,123.259,,640.6,7.5,"Moro Gulf, Mindanao, Philippines",earthquake,2010-07-23
252,1100208401150,-8.152,124.868,,10.0,7.5,"Kepulauan Alor, Indonesia",earthquake,2004-11-11
293,1003462124460,-4.102,123.907,,33.0,7.5,Banda Sea,earthquake,2001-10-19
29,1543983488420,-21.9496,169.4266,green,10.0,7.5,"165km ESE of Tadine, New Caledonia",earthquake,2018-12-05
82,1427672911010,-4.7294,152.5623,green,41.0,7.5,"53km SE of Kokopo, Papua New Guinea",earthquake,2015-03-29
304,978332224170,6.898,126.579,,33.0,7.5,"Mindanao, Philippines",earthquake,2001-01-01
25,1550830643770,-2.1862,-77.0505,yellow,145.0,7.5,"111km ESE of Palora, Ecuador",earthquake,2019-02-22
90,1397914080810,-6.7547,155.0241,green,43.37,7.5,"70km SW of Panguna, Papua New Guinea",earthquake,2014-04-19
13,1585104561160,48.9638,157.6955,green,57.8,7.5,"221km SSE of Severo-Kuril'sk, Russia",earthquake,2020-03-25
70,1445850582560,36.5244,70.3676,orange,231.0,7.5,"45km E of Farkhar, Afghanistan",earthquake,2015-10-26
42,1515552693290,17.4825,-83.52,green,19.0,7.5,"44km E of Great Swan Island, Honduras",earthquake,2018-01-10
80,1430790246380,-5.4624,151.8751,green,55.0,7.5,"130km SSW of Kokopo, Papua New Guinea",earthquake,2015-05-05
287,1015362969130,6.033,124.249,,31.0,7.5,"Mindanao, Philippines",earthquake,2002-03-05
32,1538128965250,-0.2559,119.8462,red,20.0,7.5,"70km N of Palu, Indonesia",earthquake,2018-09-28
38,1519580684140,-6.0699,142.7536,yellow,25.21,7.5,"83km SW of Porgera, Papua New Guinea",earthquake,2018-02-25
300,982092510260,-4.68,102.562,,36.0,7.4,"southern Sumatra, Indonesia",earthquake,2001-02-13
279,1036200370700,2.824,96.085,,30.0,7.4,"Simeulue, Indonesia",earthquake,2002-11-02
